NomePrestadora,CodINEP,siglaUf,NomeMunicipio,DescSituacao,TipoObrigacao,VelAcessoInstalada,DescTecnologia,NomeEscola,DescTipoEscola,DataAtivacao
50417424566,32000022[*],ES,Água Doce do Norte,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EP FAZENDA JOAO NOHIA,Municipal,31/03/2016
50417424566,32000030[*],ES,Água Doce do Norte,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EP SAO SEBASTIAO,Municipal,16/09/2016
50417424566,32000049[*],ES,Água Doce do Norte,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EMPG JOAO ANTONIO MOREIRA,Municipal,31/07/2015
50417424566,32000138[*],ES,Água Doce do Norte,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EU CORREGO SAO DOMINGOS,Municipal,23/11/2015
50417424566,32000464[*],ES,Água Doce do Norte,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EMPEF PROF JOAO BATISTA,Municipal,19/11/2015
50417424566,32001169[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EM FAZENDA GERALDO COZZER,Municipal,05/05/2015
50417424566,32001509[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EM SANTA TOZZI DE PALMA,Municipal,12/05/2015
50417424566,32001576[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EM OTTO SAAR,Municipal,30/03/2016
50417424566,32001584[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EM SANTA ANGELICA,Municipal,06/05/2015
50417424566,32001592[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EEEF ITA,Estadual,06/05/2015
50417424566,32001835[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EM ALTO PAULISTA,Municipal,16/09/2016
50417424566,32001894[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EM CORREGO DO ENGENHO,Municipal,15/05/2015
50417424566,32001908[*],ES,Barra de São Francisco,Instalada,Rural – Edital 4G,0.256 Mbps,SATÉLITE,EEEF ANTONIO CIRILO,Estadual,18/05/2015
